Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
mistralai/mistral-nemo,Nicole,mistralai,1016.0,100.0,1,1,0.0,100.0,64.28571428571429
meta-llama/llama-3.1-8b-instruct,Rachel,meta-llama,984.0,0.0,0,1,0.0,0.0,45.45454545454545
