Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
mistralai/codestral-mamba,Sidney Shaw,mistralai,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r7b-12-2024,Vaughn Miller,cohere,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5-8b,Reese Johnson,google,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-lite-001,Jordan Smith,google,1000,0.0,0,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5,Reese Johnson,google,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
minimax/minimax-01,Vaughn Miller,minimax,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/ministral-3b,Reese Johnson,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.1-70b-instruct,Indigo Carter,meta-llama,1000,0.0,0,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.2-90b-vision-instruct,Finley Quinn,meta-llama,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-24b-instruct-2501:free,Nico Riley,mistralai,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small,Nico Riley,mistralai,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-001,Logan Bailey,google,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Nico Riley,deepseek,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mixtral-8x7b-instruct,Winter Stone,mistralai,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-medium,Kennedy Ross,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview,Alex Morgan,google,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-08-2024,Ellis Jordan,cohere,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-2024-11-20,Winter Stone,openai,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini,Reese Johnson,openai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-nemo:free,Taylor Wright,mistralai,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-saba,Ellis Jordan,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-3.1-24b-instruct:free,Kennedy Ross,mistralai,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistral/ministral-8b,Indigo Carter,mistral,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview:thinking,Sidney Shaw,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r,Blake Taylor,cohere,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
