Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
mistralai/ministral-3b,Jordan Smith,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r7b-12-2024,Winter Stone,cohere,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5-8b,Alex Morgan,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-lite-001,Reese Johnson,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5,Winter Stone,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistral/ministral-8b,Indigo Carter,mistral,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/ministral-8b,Blake Taylor,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.1-8b-instruct,Winter Stone,meta-llama,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.3-70b-instruct,Indigo Carter,meta-llama,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Taylor Wright,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-24b-instruct-2501,Jordan Smith,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-001,Ellis Jordan,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Harper Lee,deepseek,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/pixtral-12b,Reese Johnson,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-nemo,Taylor Wright,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview,Blake Taylor,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-4-scout,Logan Bailey,meta-llama,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-08-2024,Cameron Reed,cohere,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini,Gray Wilson,openai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini-2024-07-18,Cameron Reed,openai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-saba,Sidney Shaw,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small,Jordan Smith,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-tiny,Blake Taylor,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-4-maverick,Jordan Smith,meta-llama,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/codestral-2501,Ellis Jordan,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview:thinking,Ellis Jordan,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r,Cameron Reed,cohere,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-03-2024,Morgan Casey,cohere,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1,Jordan Smith,deepseek,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
