Model,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
meta-llama/llama-3.3-70b-instruct,meta-llama,1073.00566158348,60.0,3,5,60.0,45.61904761904762,62.857142857142854,52.02429149797571,2.9,69.76576055523424,20.0,83.38725490196077,27.4,0,0,3
openai/gpt-4.1-mini,openai,984.736306793522,20.0,1,5,59.61760461760461,64.64285714285714,43.66233766233766,50.52631578947368,3.7368253968253966,82.01153353603442,40.0,98.0952380952381,27.4,0,0,1
meta-llama/llama-3-8b-instruct,meta-llama,986.723864535874,20.0,1,5,7.333333333333333,20.0,3.6363636363636367,6.153846153846154,3.13,60.99312452253629,20.0,53.58847958201841,27.4,0,0,1
google/gemini-2.0-flash-001,google,984.0,0.0,0,5,15.714285714285712,40.0,13.0,19.42857142857143,4.954761904761904,52.469662298037576,0.0,100.0,27.4,0,0,0
openai/gpt-4.1-nano,openai,985.4358728782763,0.0,0,5,25.333333333333332,44.5,30.448051948051948,35.3921568627451,5.246666666666667,51.222222222222214,0.0,74.67032967032966,27.4,0,0,0
openai/gpt-4o-mini,openai,986.0982942088476,0.0,0,5,58.0,45.28571428571429,31.424242424242426,36.80326797385621,4.35,61.86740890688259,40.0,92.29093346740406,27.4,0,0,0
