Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
mistralai/mistral-nemo:free,Matthew,mistralai,1000,50.0,1,2,0,0,0,0,0,0,0,0,0,4.0,1,0,0
mistralai/codestral-mamba,Jordan Smith,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere/command-r7b-12-2024,Indigo Carter,cohere,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5-8b,Laura,google,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,4.0,0,0,0
google/gemini-2.0-flash-lite-001,Ellis Jordan,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/gemini-flash-1.5,Winter Stone,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minimax/minimax-01,Vaughn Miller,minimax,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/ministral-3b,Kennedy Ross,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta-llama/llama-3.1-70b-instruct,Winter Stone,meta-llama,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.2-90b-vision-instruct,Parker Quinn,meta-llama,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-24b-instruct-2501:free,Morgan Casey,mistralai,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small,Morgan Casey,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/gemini-2.0-flash-001,Winter Stone,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Winter Stone,deepseek,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mixtral-8x7b-instruct,Winter Stone,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-medium,Cameron Reed,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/gemini-2.5-flash-preview,Logan Bailey,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere/command-r-08-2024,Gray Wilson,cohere,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openai/gpt-4o-2024-11-20,Finley Quinn,openai,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini,Cameron Reed,openai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-saba,Alex Morgan,mistralai,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-3.1-24b-instruct:free,Sidney Shaw,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistral/ministral-8b,Blake Taylor,mistral,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/gemini-2.5-flash-preview:thinking,Logan Bailey,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere/command-r,Indigo Carter,cohere,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
