Model,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
meta-llama/llama-3.2-1b-instruct,meta-llama,984.0,60.0,6,10,2.5,100.0,72.44200244200243,78.53832442067736,6.7,12.2481684981685,20.0,28.59220003981922,2.3524133240784044,7.9,6,0,0
meta-llama/llama-3.2-3b-instruct,meta-llama,1016.0,40.0,4,10,0.0,95.0,58.77489177489176,67.24025974025975,8.004999999999999,33.105616605616596,60.0,39.2320570417315,2.096641058813654,7.9,4,0,0
