Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
cohere/command-r-08-2024,Kevin,cohere,1073.00566158348,12.0,3,25,2.8,11.555555555555557,12.0,11.764705882352942,0.43833333333333335,10.17142857142857,4.0,5.7655677655677655,2.9728601630982894,4.52,0,0,3
meta-llama/llama-3.3-70b-instruct,Ashley,meta-llama,1073.00566158348,9.523809523809524,2,21,7.936507936507936,11.564625850340136,11.255411255411255,11.352455212104335,0.48299319727891155,10.576766591804184,14.285714285714286,9.968253968253967,2.839882538531921,3.9047619047619047,0,0,2
google/gemini-2.0-flash-lite-001,Kevin,google,1073.00566158348,8.695652173913043,2,23,4.3478260869565215,6.452062430323299,9.420289855072463,7.626431539475018,0.17391304347826086,7.478511826337913,8.695652173913043,9.145763656633221,2.0222520553148713,3.782608695652174,0,0,2
mistralai/mistral-tiny,Ashley,mistralai,1073.00566158348,6.25,1,16,6.25,4.6875,6.25,5.357142857142857,0.25,2.941176470588235,0.0,3.5416666666666665,0.7608810227226328,1.75,0,0,1
google/gemini-2.5-flash-preview:thinking,Megan,google,1073.00566158348,5.263157894736842,1,19,5.2631578947368425,5.2631578947368425,5.2631578947368425,5.2631578947368425,0.05263157894736842,5.2631578947368425,0.0,3.5087719298245608,0.9630239431123088,1.3157894736842106,0,0,1
cohere/command-r,Kevin,cohere,1073.00566158348,5.0,1,20,5.0,5.0,5.0,5.0,0.2,4.285714285714286,0.0,0.6363636363636364,0.9617539069869302,1.25,0,0,1
meta-llama/llama-4-maverick,Brian,meta-llama,986.723864535874,4.166666666666666,1,24,3.214285714285714,4.166666666666667,4.166666666666667,4.166666666666667,0.26587301587301587,4.160115303983229,4.166666666666667,7.974137931034483,0.76031656293144,2.5,0,0,1
mistralai/ministral-3b,Sarah,mistralai,986.723864535874,0.0,0,28,3.5714285714285716,8.16326530612245,2.687074829931973,3.9291217257318953,0.623299319727891,9.64781746031746,7.142857142857143,5.186524002313476,1.3988607563073734,4.071428571428571,0,0,0
cohere/command-r7b-12-2024,Daniel,cohere,984.0,0.0,0,16,1.25,4.166666666666666,1.5625,2.272727272727273,0.2708333333333333,1.6666666666666667,0.0,3.6057692307692304,0.3954765051603317,1.75,0,0,0
google/gemini-flash-1.5-8b,Brian,google,984.736306793522,0.0,0,14,3.1746031746031744,7.142857142857143,1.1904761904761902,2.0408163265306123,0.8428571428571429,9.821428571428571,7.142857142857143,2.1770682148040637,1.4793750933238439,3.857142857142857,0,0,0
google/gemini-flash-1.5,Matthew,google,986.723864535874,0.0,0,30,0.6666666666666666,0.0,0.0,0.0,0.11904761904761905,2.222222222222222,0.0,1.818181818181818,0.49694298669403675,0.9333333333333333,0,0,0
mistral/ministral-8b,Sarah,mistral,985.4358728782763,0.0,0,21,8.73015873015873,7.482993197278911,5.578231292517007,6.367880485527544,0.7817460317460316,10.170628591681222,4.761904761904762,10.833333333333334,2.679038836288522,5.333333333333333,0,0,0
mistralai/ministral-8b,Nicole,mistralai,986.0982942088476,0.0,0,19,0.0,0.0,0.0,0.0,0.0,1.5037593984962405,0.0,2.834008097165992,1.632151744867626,1.4736842105263157,0,0,0
meta-llama/llama-3.1-8b-instruct,Sarah,meta-llama,984.736306793522,0.0,0,23,0.0,4.3478260869565215,1.932367149758454,2.675585284280936,0.8434782608695651,3.7888198757763973,4.3478260869565215,2.4593763724198507,1.1065766814332572,2.1739130434782608,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Rachel,mistralai,984.0,0.0,0,18,6.712962962962963,5.555555555555555,4.62962962962963,5.05050505050505,0.49649270482603813,10.246913580246915,5.555555555555555,11.5171321053674,3.870582704680888,4.833333333333333,0,0,0
mistralai/mistral-small-24b-instruct-2501,Devon Parker,mistralai,1000,0.0,0,14,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-001,James,google,986.723864535874,0.0,0,19,7.393483709273181,26.31578947368421,8.233082706766917,10.292397660818713,1.4475355054302421,14.705608718766612,5.2631578947368425,29.674015355129907,4.6987080699369015,8.421052631578947,0,0,0
