Model,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
google/gemini-2.5-pro-preview-03-25,google,1016.0,100.0,10,10,20.0,98.0,100.0,98.88888888888889,1.5,87.65861915861916,0.0,99.0,5.2,10,0,0
meta-llama/llama-3.2-1b-instruct,meta-llama,984.0,0.0,0,10,2.0,5.0,10.0,6.666666666666666,3.8483333333333336,27.833333333333332,0.0,52.463203463203456,5.2,0,0,0
