Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
google/gemini-2.5-flash-preview:thinking,Sarah,google,1073.00566158348,83.33333333333334,20,24,61.21527777777777,79.68871406371407,91.57925407925408,84.6792827276994,2.7763888888888886,83.3682789829983,33.333333333333336,83.5445185807784,17.593867811467494,27.541666666666668,0,0,20
openai/gpt-4o-mini,John,openai,1073.00566158348,33.33333333333333,9,27,40.40564373897707,49.930121319010205,57.39439572772906,51.51891178550965,3.323015873015873,63.32143135247712,29.62962962962963,66.67567141382523,6.136739358052673,28.185185185185187,0,0,9
meta-llama/llama-4-maverick,Michael,meta-llama,984.736306793522,30.0,6,20,38.76587301587301,59.75,45.139652014652015,45.842074592074596,3.654767316017316,54.84643535514772,20.0,79.81610225339209,6.245574100874865,27.95,0,0,6
openai/gpt-4o-mini-2024-07-18,Nicole,openai,986.723864535874,29.166666666666668,7,24,31.431878306878303,51.29245389113809,46.541756854256846,45.482529798992886,3.400892857142857,62.484393529335215,20.833333333333332,64.71118761373451,6.078221700470771,28.083333333333332,0,0,7
meta-llama/llama-3.3-70b-instruct,Megan,meta-llama,986.0982942088476,28.57142857142857,6,21,36.82539682539682,49.44564694564695,48.85464403321547,47.659120745586904,1.9075963718820863,70.37575159196348,61.904761904761905,73.17460395712328,11.367382608778755,28.428571428571427,0,0,6
mistralai/mistral-small-24b-instruct-2501,James,mistralai,985.4358728782763,27.77777777777778,5,18,32.24867724867724,43.663620330286996,47.586980920314254,43.46148223599204,2.443121693121693,55.80327918190237,38.888888888888886,63.628447293588415,7.01747594875852,27.72222222222222,0,0,5
meta-llama/llama-4-scout,James,meta-llama,986.723864535874,22.727272727272727,5,22,33.08441558441558,51.81435988254169,48.592538508806456,48.285207651436004,3.467857142857143,54.80768191998138,9.090909090909092,78.14377617800783,5.352227150551949,27.954545454545453,0,0,5
google/gemini-2.5-flash-preview,Daniel,google,985.4358728782763,21.052631578947366,4,19,39.84468747626642,71.05680868838763,57.85860596232113,61.106935461084554,2.9222639933166246,60.58971695427656,47.36842105263158,97.79088870501614,5.912998143754504,28.63157894736842,0,0,4
mistralai/mistral-saba,Rachel,mistralai,984.736306793522,20.833333333333336,5,24,19.166666666666664,45.048111610611606,45.716667591667594,43.1912773255278,3.453327922077922,56.85534104340326,29.166666666666668,56.14567174751675,6.072001134469709,28.125,0,0,5
google/gemini-2.0-flash-lite-001,Matthew,google,985.4358728782763,19.047619047619047,4,21,35.23809523809524,38.99297792154935,48.293135435992575,42.051037682896116,1.4642857142857142,45.58200941604303,28.571428571428573,67.27540148040887,5.4879040705791216,28.476190476190474,0,0,4
meta-llama/llama-3.1-8b-instruct,David,meta-llama,986.0982942088476,17.647058823529413,3,17,21.904125286478227,38.23529411764706,19.56142825519988,20.262021814928755,4.5812388591800355,58.58845811051694,29.41176470588235,42.01179771510767,4.628596131519813,27.941176470588236,0,0,3
mistral/ministral-8b,Sarah,mistral,984.736306793522,12.903225806451612,4,31,35.27649769585254,40.08419000354484,34.03804752595075,34.70563562444118,2.8923835125448023,51.428773366629166,12.903225806451612,48.73985323440705,5.493547581589318,28.677419354838708,0,0,4
cohere/command-r,John,cohere,984.736306793522,12.5,3,24,25.238095238095237,17.708333333333332,11.95436507936508,12.469896004378763,4.270982142857143,58.99363368113367,20.833333333333332,42.00461759990014,5.833740991122987,28.083333333333332,0,0,3
google/gemini-2.0-flash-001,Jessica,google,984.736306793522,11.538461538461538,3,26,27.922184652953884,48.26923076923076,31.79416988240517,35.23108195873057,5.128191520018443,49.75916883871158,11.538461538461538,97.78223222227747,5.471982847978647,28.115384615384617,0,0,3
mistralai/ministral-8b,Brian,mistralai,1073.00566158348,10.526315789473683,2,19,26.798245614035086,48.15162907268171,45.03341687552214,43.414491787067966,3.309022556390977,49.811700303390055,21.05263157894737,50.22740708884891,5.144477355034157,28.63157894736842,0,0,2
mistralai/mistral-nemo,Brian,mistralai,984.0,10.526315789473683,2,19,31.923076923076923,55.08771929824561,27.061213640161004,33.072833134354745,4.472713032581454,52.47819174289763,10.526315789473685,58.28843008511412,5.445117871728492,28.05263157894737,0,0,2
mistralai/codestral-2501,Megan,mistralai,984.736306793522,9.523809523809524,2,21,28.23696145124716,42.40534597677455,34.13265306122449,33.44837701980559,5.56628873771731,50.27957641568876,9.523809523809524,82.9146340579335,4.333615938757054,27.476190476190474,0,0,2
mistralai/mistral-tiny,Ashley,mistralai,984.0,9.090909090909092,2,22,32.14285714285714,40.89686828323192,38.98393273393273,37.68039055106322,3.493686868686869,51.161677052312946,31.818181818181817,57.529017953181864,5.426824340505667,27.90909090909091,0,0,2
mistralai/ministral-3b,Andrew,mistralai,985.4358728782763,8.0,2,25,27.942857142857143,49.060317460317464,31.7056499056499,35.6614375581377,3.0956349206349203,60.45509316770185,12.0,47.48656937723344,4.489330364440198,28.68,0,0,2
mistralai/mistral-small-3.1-24b-instruct,Sarah,mistralai,986.723864535874,6.666666666666667,1,15,35.904761904761905,48.86813186813186,38.44170644170644,39.21172343545569,3.6706878306878306,62.71019113898372,26.666666666666668,75.18799701617039,7.061446698562705,27.4,0,0,1
google/gemini-flash-1.5,Kevin,google,984.0,5.263157894736842,1,19,29.954051796157056,44.73684210526316,22.51113526521875,28.146124339757396,3.6338137009189646,68.48722699728891,21.05263157894737,46.84162777354982,5.140467711816288,28.57894736842105,0,0,1
google/gemini-flash-1.5-8b,Andrew,google,986.0982942088476,5.0,1,20,27.62608225108225,42.33333333333333,15.371272246272246,19.067337461300312,4.326565934065934,82.55989843489843,15.0,21.574391594284332,5.003728921636267,28.25,0,0,1
cohere/command-r-08-2024,David,cohere,984.0,4.166666666666666,1,24,34.604226791726795,44.007936507936506,29.88127375075904,31.21974273290063,3.713661916786917,52.50246859621859,25.0,58.6561974695092,5.931464828996873,28.291666666666668,0,0,1
deepseek/deepseek-r1-distill-llama-70b,Laura,deepseek,984.0,3.8461538461538463,1,26,19.01063679909834,0.0,0.0,0.0,4.4998307248307245,53.84615384615385,7.6923076923076925,1.843692634604064,27.838664298223655,27.76923076923077,0,0,1
mistralai/pixtral-12b,Brian,mistralai,986.723864535874,3.3333333333333335,1,30,29.493386243386244,33.52453102453102,14.292059104559105,18.213662881839134,3.9428342028342027,56.68619429532741,13.333333333333334,50.89642053927452,5.63110515496223,27.833333333333332,0,0,1
cohere/command-r7b-12-2024,Sarah,cohere,985.4358728782763,0.0,0,23,27.525879917184263,39.27536231884058,20.593904887383143,25.516912530642504,4.327898550724638,46.70359265627808,26.08695652173913,51.70424329969867,5.1246670879527105,28.217391304347824,0,0,0
mistralai/mistral-small,James,mistralai,986.723864535874,0.0,0,19,29.385964912280702,28.637502848029165,23.900660742766007,24.533077861251233,3.0672932330827067,43.545387790743824,31.57894736842105,58.12724439562897,6.691308847063122,28.57894736842105,0,0,0
