Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
google/gemini-2.5-flash-preview-05-20,Rachel,google,1073.00566158348,17.857142857142858,5,28,24.098639455782312,24.064625850340132,35.714285714285715
qwen/qwen3-30b-a3b,Nicole,qwen,986.723864535874,7.142857142857142,2,28,12.245670995670995,9.175824175824177,21.428571428571427
mistralai/mistral-nemo,Daniel,mistralai,984.0,6.25,1,16,20.029761904761905,18.75,35.64327485380117
mistralai/ministral-3b,Brian,mistralai,984.0,6.0606060606060606,2,33,9.090909090909092,10.948445493900039,20.979358805445763
mistralai/pixtral-12b,Brian,mistralai,984.0,5.88235294117647,2,34,3.991596638655462,8.712121212121213,14.424019607843137
google/gemini-flash-1.5,Nicole,google,1073.00566158348,4.3478260869565215,1,23,6.935817805383023,16.57820440429136,26.08695652173913
google/gemini-flash-1.5-8b,Amanda,google,986.723864535874,4.166666666666666,1,24,14.351851851851853,6.349206349206349,22.55694196870667
mistralai/devstral-small,Megan,mistralai,984.736306793522,4.0,1,25,4.0,7.142857142857142,19.636363636363637
mistralai/mistral-small-24b-instruct-2501,Ashley,mistralai,1073.00566158348,4.0,1,25,8.666666666666666,7.0476190476190474,15.377777777777778
mistralai/ministral-8b,Michael,mistralai,984.736306793522,4.0,1,25,4.8,14.823529411764705,24.76293827875978
qwen/qwen-2.5-7b-instruct,Andrew,qwen,986.0982942088476,3.4482758620689653,1,29,8.6833185971117,3.4482758620689653,24.137931034482758
openai/gpt-4o-mini,Ashley,openai,986.723864535874,3.225806451612903,1,31,10.806451612903226,7.271850013785498,19.032258064516128
meta-llama/llama-3.1-8b-instruct,Michael,meta-llama,984.0,0.0,0,19,7.0175438596491215,2.3391812865497075,9.473684210526315
google/gemini-2.0-flash-lite-001,Thomas,google,986.723864535874,0.0,0,23,4.3478260869565215,5.850188458884111,21.40468227424749
mistralai/mistral-small-3.1-24b-instruct,Kevin,mistralai,985.4358728782763,0.0,0,23,18.550724637681157,8.527511136206789,29.661835748792267
openai/gpt-4.1-nano,David,openai,984.0,0.0,0,16,10.168650793650794,5.0,18.4375
google/gemini-2.0-flash-001,Sarah,google,985.4358728782763,0.0,0,23,7.1687370600414075,6.763285024154589,25.691699604743082
meta-llama/llama-4-scout,Blake Taylor,meta-llama,1000.0,0.0,0,33,0,0,0
mistralai/mistral-saba,Thomas,mistralai,986.0982942088476,0.0,0,21,4.761904761904762,5.389848246991105,23.12925170068027
mistralai/mistral-small,Megan,mistralai,986.0982942088476,0.0,0,24,9.027777777777777,10.685425685425685,19.70899470899471
meta-llama/llama-4-maverick,Indigo Carter,meta-llama,1000.0,0.0,0,28,0,0,0
qwen/qwen3-235b-a22b,Parker Quinn,qwen,1000.0,0.0,0,25,0,0,0
meta-llama/llama-3.3-70b-instruct,Logan Bailey,meta-llama,1000.0,0.0,0,24,0,0,0
openai/gpt-4.1-mini,Andrew,openai,986.0982942088476,0.0,0,20,6.666666666666666,3.4285714285714284,20.0
