Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
google/gemini-2.5-flash-preview-05-20,Daniel,google,1073.00566158348,12.0,3,25,14.37936507936508,18.55238095238095,24.0
openai/gpt-4.1-mini,Andrew,openai,986.723864535874,11.11111111111111,2,18,10.0,13.418803418803419,20.940170940170944
openai/gpt-4.1-nano,Andrew,openai,986.723864535874,10.0,2,20,9.333333333333332,12.333333333333334,20.0
google/gemini-2.0-flash-lite-001,Rachel,google,1073.00566158348,8.695652173913043,2,23,17.391304347826086,6.559877955758963,24.565217391304348
google/gemini-flash-1.5-8b,Matthew,google,986.0982942088476,8.0,2,25,4.555555555555555,4.0,19.26111111111111
mistralai/devstral-small,Megan,mistralai,984.0,5.263157894736842,1,19,18.42105263157895,13.3804207488418,30.83732057416268
qwen/qwen-2.5-7b-instruct,Rachel,qwen,984.0,4.545454545454546,1,22,13.059163059163058,4.545454545454546,40.90909090909091
mistralai/mistral-nemo,Michael,mistralai,1073.00566158348,4.166666666666666,1,24,11.527777777777777,7.756132756132755,19.32319223985891
qwen/qwen3-30b-a3b,Laura,qwen,984.0,4.166666666666666,1,24,10.0,3.4090909090909087,12.5
google/gemini-2.0-flash-001,John,google,984.0,3.8461538461538463,1,26,8.765540015540015,13.461538461538462,19.23076923076923
openai/gpt-4o-mini,Jessica,openai,984.736306793522,3.7037037037037033,1,27,4.938271604938271,5.479129923574368,14.814814814814815
meta-llama/llama-3.1-8b-instruct,Emily,meta-llama,986.0982942088476,3.571428571428571,1,28,15.238095238095237,11.075036075036076,25.79501727746802
google/gemini-flash-1.5,Andrew,google,984.736306793522,3.3333333333333335,1,30,4.761904761904762,10.162393162393162,16.274509803921568
mistralai/ministral-3b,Emily,mistralai,986.0982942088476,0.0,0,24,6.547619047619047,4.722222222222222,18.04398148148148
mistralai/mistral-small-24b-instruct-2501,David,mistralai,986.723864535874,0.0,0,29,10.057471264367816,6.8390804597701145,27.232304900181486
mistralai/ministral-8b,Andrew,mistralai,984.0,0.0,0,28,23.095238095238095,8.218210361067504,24.97390557013319
mistralai/mistral-small-3.1-24b-instruct,Brian,mistralai,985.4358728782763,0.0,0,30,8.888888888888888,2.433862433862434,15.982142857142858
mistralai/pixtral-12b,Thomas,mistralai,984.736306793522,0.0,0,23,10.37784679089027,10.20703933747412,25.037551252385015
meta-llama/llama-4-scout,Alex Morgan,meta-llama,1000.0,0.0,0,25,0,0,0
mistralai/mistral-saba,John,mistralai,984.736306793522,0.0,0,22,14.090909090909092,4.870129870129869,21.843434343434343
mistralai/mistral-small,Kevin,mistralai,986.0982942088476,0.0,0,22,9.415584415584416,9.090909090909092,22.5
meta-llama/llama-4-maverick,Winter Stone,meta-llama,1000.0,0.0,0,33,0,0,0
qwen/qwen3-235b-a22b,Kennedy Ross,qwen,1000.0,0.0,0,29,0,0,0
meta-llama/llama-3.3-70b-instruct,Jennifer,meta-llama,984.0,0.0,0,24,0.0,2.272727272727273,4.166666666666667
