Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
google/gemini-2.5-flash-preview-05-20,Thomas,google,1073.00566158348,80.0,4,5,50.33333333333333,88.12483812483812,94.66165413533834
google/gemini-2.5-flash-preview,Ashley,google,985.4358728782763,20.0,1,5,65.5952380952381,34.44444444444444,92.55159958720328
openai/gpt-4o-mini,Megan,openai,984.0,0.0,0,5,5.0,48.83394383394383,67.4386579603971
google/gemini-2.0-flash-001,Rachel,google,984.736306793522,0.0,0,5,19.714285714285715,20.714285714285715,97.5
google/gemini-2.0-flash-lite-001,Andrew,google,986.0982942088476,0.0,0,5,33.33333333333333,36.13283775048482,77.77139819245082
mistralai/mistral-nemo,Kevin,mistralai,986.723864535874,0.0,0,5,38.33333333333333,11.666666666666668,77.67582417582418
