Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
qwen/qwen-2.5-7b-instruct,Amanda,qwen,986.723864535874,32.72727272727273,18,55,27.945559491014034,31.039223402859765
mistralai/ministral-3b,Brian,mistralai,1073.00566158348,28.57142857142857,20,70,36.26051329622757,42.09066971177318
mistralai/mistral-small-3.1-24b-instruct,Daniel,mistralai,984.736306793522,26.153846153846157,17,65,38.42673992673993,47.17235268724626
google/gemini-2.0-flash-lite-001,Brian,google,986.723864535874,15.254237288135593,9,59,20.338983050847457,38.56874120135278
mistralai/mistral-7b-instruct,Thomas,mistralai,985.4358728782763,15.151515151515152,10,66,33.58225108225108,34.71371989654258
cohere/command-r7b-12-2024,Ashley,cohere,984.736306793522,12.727272727272727,7,55,32.71500721500722,33.16289557037444
meta-llama/llama-3.1-8b-instruct,Laura,meta-llama,986.0982942088476,10.0,6,60,31.221921596921604,21.54646113439265
mistralai/mistral-nemo,Jennifer,mistralai,985.4358728782763,7.936507936507936,5,63,28.544343663391288,29.418874747815057
google/gemini-flash-1.5-8b,Daniel,google,984.0,7.142857142857142,4,56,26.37313579277865,26.672003484767316
mistralai/mistral-7b-instruct-v0.3,Daniel,mistralai,986.0982942088476,5.88235294117647,3,51,33.69479104773223,27.456755032508767
