Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
mistralai/mistral-small-3.1-24b-instruct,Reese Johnson,mistralai,1016.0,100.0,1,1,0.0,90.9090909090909
mistralai/mistral-7b-instruct-v0.3,Logan Bailey,mistralai,1000.0,0,0,0,0,0
mistralai/mistral-7b-instruct,Taylor Wright,mistralai,1000.0,0,0,0,0,0
meta-llama/llama-3.1-8b-instruct,Devon Parker,meta-llama,1000.0,0,0,0,0,0
mistralai/mistral-nemo,Alex Morgan,mistralai,1000.0,0,0,0,0,0
mistralai/ministral-3b,Cameron Reed,mistralai,1000.0,0,0,0,0,0
qwen/qwen-2.5-7b-instruct,Vaughn Miller,qwen,1000.0,0,0,0,0,0
cohere/command-r7b-12-2024,Ellis Jordan,cohere,1000.0,0,0,0,0,0
google/gemini-flash-1.5-8b,Laura,google,984.0,0.0,0,1,0.0,25.0
google/gemini-2.0-flash-lite-001,Sidney Shaw,google,1000.0,0,0,0,0,0
