Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
qwen/qwen3-235b-a22b,Laura,qwen,1045.8278203282016,59.183673469387756,29,49,49.89795918367348,62.92855408107825,85.06196653077072
qwen/qwen3-30b-a3b,John,qwen,984.0,54.71698113207547,29,53,41.24064091045223,64.37827325059901,99.16663379263414
google/gemini-2.5-flash-preview-05-20,Kevin,google,984.736306793522,50.0,30,60,39.008297258297254,66.36771099271098,99.47182794057794
openai/gpt-4.1-mini,Jennifer,openai,1045.8278203282016,42.22222222222222,19,45,34.25925925925925,56.90257078853569,97.20045097225403
meta-llama/llama-3.3-70b-instruct,Amanda,meta-llama,1045.8278203282016,34.0,17,50,28.7,59.152232081643845,70.70989211916469
openai/gpt-4.1-nano,Andrew,openai,984.0,33.9622641509434,18,53,37.34501347708895,57.355214963720144,96.61965348014667
google/gemini-flash-1.5-8b,Nicole,google,985.4358728782763,31.70731707317073,13,41,36.525358110723964,61.460391991238474,91.725091024025
google/gemini-flash-1.5,Brian,google,1045.8278203282016,29.411764705882355,15,51,30.16651104886399,53.6051856640092,99.0829402681455
google/gemini-2.0-flash-001,Megan,google,1045.8278203282016,26.31578947368421,15,57,35.13613579403053,53.522695627958775,99.18409003277425
meta-llama/llama-4-scout,Megan,meta-llama,984.736306793522,26.0,13,50,29.523015873015876,43.38484848484849,47.9656220851163
mistralai/devstral-small,Andrew,mistralai,1045.8278203282016,25.0,10,40,19.845238095238095,49.82239819004525,91.31806903051182
openai/gpt-4o-mini,Daniel,openai,985.4358728782763,23.91304347826087,11,46,47.391304347826086,54.83223156496814,99.74120082815736
mistralai/mistral-nemo,Ashley,mistralai,984.0,20.833333333333336,10,48,29.94791666666666,44.20176467051468,95.77962254394284
mistralai/mistral-small-3.1-24b-instruct,Rachel,mistralai,985.4358728782763,20.454545454545457,9,44,28.23051948051948,48.84960076980904,95.09973602772097
meta-llama/llama-4-maverick,Thomas,meta-llama,984.0,16.666666666666664,10,60,25.382936507936513,38.87301587301588,33.310139613905584
google/gemini-2.0-flash-lite-001,Matthew,google,984.0,15.217391304347828,7,46,17.753623188405797,38.426048943951734,97.85573535287493
mistralai/ministral-8b,Andrew,mistralai,984.736306793522,14.516129032258066,9,62,25.87941628264209,47.89159764966216,85.02376825059508
mistralai/mistral-small,Amanda,mistralai,1045.8278203282016,13.333333333333334,6,45,24.597883597883598,47.270448388727964,97.07931245334213
mistralai/mistral-saba,Rachel,mistralai,984.0,12.76595744680851,6,47,24.645390070921984,40.797748350939834,95.40693275482184
mistralai/ministral-3b,Kevin,mistralai,984.736306793522,12.5,6,48,26.787367724867725,39.484577922077925,86.8665849257955
mistralai/mistral-small-24b-instruct-2501,Sarah,mistralai,984.736306793522,12.244897959183673,6,49,20.578231292517007,41.96315022845635,94.84847146703467
mistralai/pixtral-12b,Nicole,mistralai,984.0,10.714285714285714,6,56,36.37542517006803,57.01071745714603,95.00027470971361
qwen/qwen-2.5-7b-instruct,John,qwen,984.0,9.803921568627452,5,51,21.27684407096172,1.9607843137254901,99.61841277923722
meta-llama/llama-3.1-8b-instruct,Nicole,meta-llama,985.4358728782763,2.0408163265306123,1,49,25.782312925170068,40.4963204062844,87.02006435133713
