Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
google/gemini-2.5-flash-preview-05-20,Amanda,google,984.0,53.75,86,160,42.56225198412697,65.1406204734378,99.37441862470929
openai/gpt-4.1-mini,John,openai,1045.8278203282016,51.38121546961326,93,181,44.79764097167411,68.01747549722484,96.94553488702844
google/gemini-flash-1.5,Jennifer,google,1045.8278203282016,43.225806451612904,67,155,28.897337429595485,66.90747819176497,99.21987310226167
google/gemini-flash-1.5-8b,Ashley,google,1045.8278203282016,39.50617283950617,64,162,32.48632711595674,64.09957512423824,94.0670594598881
google/gemini-2.0-flash-001,Thomas,google,985.4358728782763,36.41618497109826,63,173,29.141101352084004,55.91262943864101,99.6957327578442
openai/gpt-4.1-nano,Kevin,openai,984.736306793522,33.52941176470588,57,170,35.23786181139123,62.48371802265562,96.72159745109161
meta-llama/llama-3.3-70b-instruct,Emily,meta-llama,984.736306793522,32.402234636871505,58,179,35.749534450651765,59.41644747086918,97.54342581850113
openai/gpt-4o-mini,Jennifer,openai,984.0,31.176470588235293,53,170,27.41176470588235,52.20742854608784,99.41531455576906
mistralai/mistral-small-3.1-24b-instruct,Amanda,mistralai,985.4358728782763,28.05755395683453,39,139,25.175288340755966,50.5571816860433,95.86476037993309
mistralai/devstral-small,James,mistralai,985.4358728782763,24.074074074074073,39,162,28.124632569077008,51.77676028524553,87.38548973641934
meta-llama/llama-3.1-8b-instruct,Matthew,meta-llama,984.736306793522,23.952095808383234,40,167,30.556268415549855,48.997837233594815,86.81327106805958
meta-llama/llama-4-scout,Amanda,meta-llama,984.0,21.951219512195124,36,164,22.409548446133794,24.753864022156705,18.201305357275398
mistralai/mistral-nemo,David,mistralai,984.736306793522,21.472392638036812,35,163,29.166423215502977,53.31171850535529,94.87335478755402
mistralai/ministral-8b,Daniel,mistralai,985.4358728782763,21.379310344827587,31,145,29.16666666666666,48.528632713857434,85.90916567610302
mistralai/mistral-small,Nicole,mistralai,984.0,19.88950276243094,36,181,26.898842409892133,49.30748817898439,96.10096898737008
mistralai/pixtral-12b,Ashley,mistralai,984.736306793522,19.170984455958546,37,193,32.084408107724165,48.764971030687526,94.07532663490119
qwen/qwen-2.5-7b-instruct,Megan,qwen,984.0,15.909090909090908,28,176,27.50164923460376,12.436868686868685,98.50240563971502
mistralai/mistral-saba,Matthew,mistralai,984.0,15.384615384615385,28,182,24.02930402930403,42.779881376783706,94.03616782958524
mistralai/ministral-3b,Thomas,mistralai,985.4358728782763,12.578616352201259,20,159,30.411799940101822,37.684233594333485,83.99453752310795
qwen/qwen3-235b-a22b,Andrew,qwen,985.4358728782763,12.5,18,144,23.787628266794915,5.059523809523809,0.0
mistralai/mistral-small-24b-instruct-2501,Andrew,mistralai,985.4358728782763,11.728395061728394,19,162,24.222516166960613,47.26725981971566,93.86042313281762
google/gemini-2.0-flash-lite-001,Amanda,google,1045.8278203282016,11.695906432748536,20,171,23.976608187134502,42.36827924790344,97.59799930789684
qwen/qwen3-30b-a3b,Daniel,qwen,984.736306793522,10.465116279069768,18,172,24.023163528977456,6.8604651162790695,0.0
meta-llama/llama-4-maverick,Nicole,meta-llama,984.736306793522,8.823529411764707,15,170,23.789449112978506,5.294117647058823,0.0
