Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
cohere/command-r7b-12-2024,Rachel,cohere,1016.0,100.0,1,1,0.0,100.0
mistralai/mistral-7b-instruct-v0.3,Logan Bailey,mistralai,1000.0,0,0,0,0,0
mistralai/mistral-7b-instruct,Vaughn Miller,mistralai,1000.0,0,0,0,0,0
meta-llama/llama-3.1-8b-instruct,Nico Riley,meta-llama,1000.0,0,0,0,0,0
mistralai/mistral-nemo,Indigo Carter,mistralai,1000.0,0,0,0,0,0
mistralai/ministral-3b,Blake Taylor,mistralai,1000.0,0,0,0,0,0
qwen/qwen-2.5-7b-instruct,Jennifer,qwen,984.0,0.0,0,1,0.0,0.0
google/gemini-flash-1.5-8b,Cameron Reed,google,1000.0,0,0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Blake Taylor,mistralai,1000.0,0,0,0,0,0
google/gemini-2.0-flash-lite-001,Devon Parker,google,1000.0,0,0,0,0,0
