Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
google/gemini-2.5-flash-preview,James,google,1073.00566158348,100.0,1,1,0.0,80.0,100.0,88.8888888888889,4.0,70.37037037037037,100.0,79.41176470588235,2.332867888843312,29.0,0,0,1
mistralai/ministral-3b,Parker Quinn,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere/command-r7b-12-2024,Ashley,cohere,984.0,0.0,0,1,16.666666666666664,100.0,30.0,46.15384615384615,2.8333333333333335,46.666666666666664,0.0,51.724137931034484,1.6972392147237605,29.0,0,0,0
google/gemini-flash-1.5-8b,Nico Riley,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/gemini-2.0-flash-lite-001,Sidney Shaw,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/gemini-flash-1.5,Rachel,google,984.736306793522,0.0,0,1,42.857142857142854,50.0,12.5,20.0,2.5,92.85714285714286,100.0,58.333333333333336,2.186125265924554,29.0,0,0,0
mistral/ministral-8b,John,mistral,986.723864535874,0.0,0,1,28.57142857142857,100.0,12.5,22.22222222222222,4.428571428571429,87.5,0.0,44.44444444444444,1.7246819459475005,29.0,0,0,0
mistralai/ministral-8b,Taylor Wright,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta-llama/llama-3.1-8b-instruct,Ellis Jordan,meta-llama,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta-llama/llama-3.3-70b-instruct,Ellis Jordan,meta-llama,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Ellis Jordan,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-small-24b-instruct-2501,Harper Lee,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/gemini-2.0-flash-001,Devon Parker,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Taylor Wright,deepseek,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/pixtral-12b,Indigo Carter,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-nemo,Nico Riley,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta-llama/llama-4-scout,Devon Parker,meta-llama,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere/command-r-08-2024,Kennedy Ross,cohere,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openai/gpt-4o-mini,Reese Johnson,openai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openai/gpt-4o-mini-2024-07-18,Sidney Shaw,openai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-saba,Kennedy Ross,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-small,Logan Bailey,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-tiny,David,mistralai,986.0982942088476,0.0,0,1,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,60.0,1.8460307836532592,29.0,0,0,0
meta-llama/llama-4-maverick,Gray Wilson,meta-llama,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/codestral-2501,Gray Wilson,mistralai,985.4358728782763,0.0,0,1,60.0,0.0,0.0,0.0,3.6,42.857142857142854,100.0,87.5,1.3546733409166336,29.0,0,0,0
google/gemini-2.5-flash-preview:thinking,Blake Taylor,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere/command-r,Alex Morgan,cohere,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
