Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
google/gemini-2.5-flash-preview:thinking,Andrew,google,1073.00566158348,100.0,2,2,50.0,83.33333333333333,100.0,90.0,4.25,83.46153846153847,0.0,86.07954545454545,11.011783635751769,27.0,0,0,2
mistralai/ministral-8b,Devon Parker,mistralai,1073.00566158348,100.0,1,1,0.0,66.66666666666666,100.0,80.0,0.0,25.0,0.0,48.484848484848484,2.4083125591278076,29.0,0,0,1
mistralai/codestral-2501,John,mistralai,1073.00566158348,100.0,1,1,60.0,92.85714285714286,100.0,96.2962962962963,4.666666666666667,45.45454545454545,0.0,78.57142857142857,2.174079829454422,28.0,0,0,1
cohere/command-r,Sarah,cohere,984.0,50.0,1,2,42.857142857142854,90.0,62.5,64.44444444444446,3.8839285714285716,85.71428571428572,0.0,11.767151767151768,2.431508944584773,28.5,0,0,1
meta-llama/llama-3.3-70b-instruct,Sarah,meta-llama,984.0,33.33333333333333,2,6,60.925925925925924,70.75396825396825,65.74074074074075,67.36049236049236,2.6944444444444446,71.03254424375113,66.66666666666667,80.06741530550515,9.971346087600413,28.0,0,0,2
cohere/command-r-08-2024,Amanda,cohere,986.723864535874,33.33333333333333,1,3,8.333333333333334,25.555555555555554,37.5,29.76190476190476,3.1666666666666665,51.16883116883117,66.66666666666667,42.172880882558296,3.2159314674044412,28.333333333333332,0,0,1
openai/gpt-4o-mini,Brian,openai,1073.00566158348,33.33333333333333,1,3,22.222222222222218,57.61904761904762,59.86842105263158,53.946360153256705,4.333333333333333,64.37908496732025,66.66666666666667,77.95461243737105,3.3393483242846114,28.666666666666668,0,0,1
meta-llama/llama-4-maverick,David,meta-llama,986.0982942088476,25.0,1,4,37.38095238095238,62.5,34.166666666666664,39.285714285714285,3.8723214285714285,55.62062937062937,0.0,82.10279304029304,4.490157252518367,28.0,0,0,1
mistralai/ministral-3b,Sarah,mistralai,984.0,0.0,0,1,0.0,50.0,8.333333333333332,14.285714285714285,5.75,25.0,0.0,28.57142857142857,2.1411193370819093,28.0,0,0,0
cohere/command-r7b-12-2024,Rachel,cohere,985.4358728782763,0.0,0,1,0.0,83.33333333333334,50.0,62.5,5.25,33.33333333333333,100.0,32.608695652173914,2.1445079754138816,29.0,0,0,0
google/gemini-flash-1.5-8b,Sarah,google,984.0,0.0,0,2,35.0,0.0,0.0,0.0,3.190909090909091,58.33333333333333,50.0,9.555555555555555,2.744674424898057,28.5,0,0,0
google/gemini-2.0-flash-lite-001,Blake Taylor,google,986.723864535874,0.0,0,2,50.0,30.76923076923077,33.33333333333333,32.0,1.0,60.714285714285715,50.0,88.88888888888889,3.4808502635627825,28.5,0,0,0
google/gemini-flash-1.5,Jennifer,google,984.736306793522,0.0,0,2,22.5,16.666666666666664,8.333333333333332,11.11111111111111,3.0,81.74603174603175,50.0,61.49732620320856,2.8478469789028167,28.0,0,0,0
mistral/ministral-8b,Brian,mistral,985.4358728782763,0.0,0,2,50.0,10.0,12.5,11.111111111111112,2.75,39.285714285714285,50.0,46.42857142857143,2.3796885638803866,28.5,0,0,0
meta-llama/llama-3.1-8b-instruct,Jennifer,meta-llama,985.4358728782763,0.0,0,3,13.888888888888888,83.33333333333333,17.36111111111111,24.662309368191718,5.088888888888889,43.48484848484848,66.66666666666667,37.985114300903774,2.362329673104816,28.0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,John,mistralai,986.723864535874,0.0,0,2,32.5,73.21428571428572,45.42483660130719,55.25000000000001,3.55,55.0,100.0,84.44444444444444,4.515082391807467,28.5,0,0,0
mistralai/mistral-small-24b-instruct-2501,Emily,mistralai,984.736306793522,0.0,0,4,41.66666666666666,20.075757575757574,19.0625,18.939393939393938,2.433333333333333,56.388888888888886,0.0,60.914304993252365,2.870292184472362,28.25,0,0,0
google/gemini-2.0-flash-001,Andrew,google,985.4358728782763,0.0,0,4,12.142857142857142,29.166666666666664,13.333333333333332,18.253968253968253,3.9291666666666667,58.09343434343434,50.0,90.68181818181819,2.9173850539483523,28.25,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Megan,deepseek,986.0982942088476,0.0,0,3,31.547619047619047,0.0,0.0,0.0,3.73015873015873,66.66666666666667,0.0,2.480782669461915,16.77703217692465,28.666666666666668,0,0,0
mistralai/pixtral-12b,Kevin,mistralai,986.0982942088476,0.0,0,3,13.333333333333334,16.666666666666668,16.666666666666668,16.666666666666668,3.6333333333333333,48.333333333333336,0.0,47.992530345471515,2.9639281020884503,28.666666666666668,0,0,0
mistralai/mistral-nemo,Kevin,mistralai,986.723864535874,0.0,0,2,26.785714285714285,66.66666666666666,21.11111111111111,30.68181818181818,4.875,51.315789473684205,0.0,72.5,2.4239293846819137,28.5,0,0,0
google/gemini-2.5-flash-preview,Alex Morgan,google,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta-llama/llama-4-scout,James,meta-llama,986.723864535874,0.0,0,1,0.0,62.5,50.0,55.55555555555556,4.0,60.0,100.0,62.5,2.688010776042938,27.0,0,0,0
openai/gpt-4o-mini-2024-07-18,Logan Bailey,openai,985.4358728782763,0.0,0,1,0.0,50.0,33.33333333333333,40.0,4.0,37.5,0.0,72.72727272727273,3.8397008419036864,27.0,0,0,0
mistralai/mistral-saba,Nicole,mistralai,986.0982942088476,0.0,0,1,100.0,37.5,42.857142857142854,40.0,5.0,45.45454545454545,0.0,57.89473684210527,2.9029530419243708,27.0,0,0,0
mistralai/mistral-small,Nicole,mistralai,984.0,0.0,0,4,22.142857142857142,65.83333333333333,28.645833333333332,38.25396825396825,3.979761904761905,50.11904761904762,25.0,59.26470588235294,3.379041205118659,28.0,0,0,0
mistralai/mistral-tiny,Parker Quinn,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
