Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
mistralai/ministral-3b,Indigo Carter,mistralai,1000,0.0,0,222,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r7b-12-2024,Winter Stone,cohere,1000,0.0,0,198,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5-8b,Gray Wilson,google,1000,0.0,0,208,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-lite-001,Gray Wilson,google,1000,0.0,0,196,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5,Vaughn Miller,google,1000,0.0,0,198,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistral/ministral-8b,Kennedy Ross,mistral,1000,0.0,0,236,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/ministral-8b,Indigo Carter,mistralai,1000,0.0,0,188,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.1-8b-instruct,Logan Bailey,meta-llama,1000,0.0,0,190,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.3-70b-instruct,Vaughn Miller,meta-llama,1000,0.0,0,215,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Harper Lee,mistralai,1000,0.0,0,208,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-24b-instruct-2501,Gray Wilson,mistralai,1000,0.0,0,197,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-001,Parker Quinn,google,1000,0.0,0,203,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Indigo Carter,deepseek,1000,0.0,0,212,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/pixtral-12b,Indigo Carter,mistralai,1000,0.0,0,212,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-nemo,Ellis Jordan,mistralai,1000,0.0,0,203,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview,Vaughn Miller,google,1000,0.0,0,207,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-4-scout,Vaughn Miller,meta-llama,1000,0.0,0,206,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-08-2024,Devon Parker,cohere,1000,0.0,0,208,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini,Reese Johnson,openai,1000,0.0,0,202,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini-2024-07-18,Gray Wilson,openai,1000,0.0,0,218,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-saba,Finley Quinn,mistralai,1000,0.0,0,196,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small,Sidney Shaw,mistralai,1000,0.0,0,216,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-tiny,Jordan Smith,mistralai,1000,0.0,0,230,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-4-maverick,Cameron Reed,meta-llama,1000,0.0,0,200,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/codestral-2501,Blake Taylor,mistralai,1000,0.0,0,217,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview:thinking,Sidney Shaw,google,1000,0.0,0,196,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r,Devon Parker,cohere,1000,0.0,0,201,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-03-2024,Jordan Smith,cohere,1000,0.0,0,222,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1,Vaughn Miller,deepseek,1000,0.0,0,195,0,0,0,0,0,0,0,0,0,0.0,0,0,0
