Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
mistralai/mistral-small-3.1-24b-instruct,Nicole,mistralai,986.723864535874,42.857142857142854,3,7,30.385487528344672,56.92040452544654
mistralai/ministral-3b,Megan,mistralai,985.4358728782763,28.57142857142857,2,7,50.476190476190474,44.8941371420363
google/gemini-2.0-flash-lite-001,Jennifer,google,1073.00566158348,28.57142857142857,2,7,0.0,48.762171535280785
mistralai/mistral-7b-instruct,Sarah,mistralai,986.0982942088476,20.0,1,5,31.71428571428571,62.493506493506494
mistralai/mistral-7b-instruct-v0.3,Andrew,mistralai,984.736306793522,16.666666666666664,1,6,15.0,35.47178130511464
meta-llama/llama-3.1-8b-instruct,John,meta-llama,986.0982942088476,16.666666666666664,1,6,35.416666666666664,33.236850295673825
mistralai/mistral-nemo,Emily,mistralai,986.723864535874,0.0,0,7,32.90816326530612,23.41820460241513
qwen/qwen-2.5-7b-instruct,Megan,qwen,985.4358728782763,0.0,0,3,37.5,0.0
cohere/command-r7b-12-2024,Michael,cohere,984.0,0.0,0,4,17.5,38.01282051282051
google/gemini-flash-1.5-8b,Rachel,google,984.736306793522,0.0,0,8,39.625721500721504,21.2892316017316
