Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
openai/gpt-4o-mini,Laura,openai,984.0,50.0,5,10,7.0,61.88619713619714,72.20269461024608
google/gemini-2.5-flash-preview-05-20,John,google,1073.00566158348,40.0,4,10,44.12121212121211,70.02684407096172,95.98072004721622
google/gemini-2.5-flash-preview,Alex Morgan,google,985.4358728782763,10.0,1,10,56.30555555555556,33.21789321789322,92.548615889577
google/gemini-2.0-flash-001,Matthew,google,984.736306793522,0.0,0,10,23.94444444444444,22.235653235653235,92.65850815850816
google/gemini-2.0-flash-lite-001,Nicole,google,986.0982942088476,0.0,0,10,47.5,16.45414673046252,70.04655148772795
mistralai/mistral-nemo,Reese Johnson,mistralai,986.723864535874,0.0,0,10,29.547619047619047,10.313714063714063,76.68721719457014
