Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
mistralai/codestral-mamba,Devon Parker,mistralai,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r7b-12-2024,Gray Wilson,cohere,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5-8b,Gray Wilson,google,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-lite-001,Taylor Wright,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5,Jordan Smith,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
minimax/minimax-01,Nico Riley,minimax,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/ministral-3b,Taylor Wright,mistralai,1000,0.0,0,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.1-70b-instruct,Devon Parker,meta-llama,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.2-90b-vision-instruct,Harper Lee,meta-llama,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-24b-instruct-2501:free,Taylor Wright,mistralai,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small,Taylor Wright,mistralai,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-001,Morgan Casey,google,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Cameron Reed,deepseek,1000,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mixtral-8x7b-instruct,Blake Taylor,mistralai,1000,0.0,0,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-medium,Reese Johnson,mistralai,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview,Taylor Wright,google,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-08-2024,Harper Lee,cohere,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-2024-11-20,Winter Stone,openai,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini,Indigo Carter,openai,1000,0.0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-nemo:free,Reese Johnson,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-saba,Kennedy Ross,mistralai,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistralai/mistral-small-3.1-24b-instruct:free,Harper Lee,mistralai,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistral/ministral-8b,Nico Riley,mistral,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview:thinking,Logan Bailey,google,1000,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r,Jordan Smith,cohere,1000,0.0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0
