Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
google/gemini-2.0-flash-lite-001,Amanda,google,1016.0,100.0,1,1,0.0,80.0
mistralai/mistral-7b-instruct-v0.3,Nico Riley,mistralai,1000.0,0,0,0,0,0
mistralai/mistral-7b-instruct,Michael,mistralai,984.0,0.0,0,1,0.0,66.66666666666667
meta-llama/llama-3.1-8b-instruct,Nico Riley,meta-llama,1000.0,0,0,0,0,0
mistralai/mistral-nemo,Vaughn Miller,mistralai,1000.0,0,0,0,0,0
mistralai/ministral-3b,Sidney Shaw,mistralai,1000.0,0,0,0,0,0
qwen/qwen-2.5-7b-instruct,Vaughn Miller,qwen,1000.0,0,0,0,0,0
cohere/command-r7b-12-2024,Indigo Carter,cohere,1000.0,0,0,0,0,0
google/gemini-flash-1.5-8b,Taylor Wright,google,1000.0,0,0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Logan Bailey,mistralai,1000.0,0,0,0,0,0
