Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
qwen/qwen-2.5-7b-instruct,Thomas,qwen,1016.0,100.0,1,1,33.33333333333333,100.0
mistralai/mistral-7b-instruct-v0.3,Blake Taylor,mistralai,1000.0,0,0,0,0,0
mistralai/mistral-7b-instruct,Parker Quinn,mistralai,1000.0,0,0,0,0,0
meta-llama/llama-3.1-8b-instruct,Cameron Reed,meta-llama,1000.0,0,0,0,0,0
mistralai/mistral-nemo,Finley Quinn,mistralai,1000.0,0,0,0,0,0
mistralai/ministral-3b,Sidney Shaw,mistralai,1000.0,0,0,0,0,0
cohere/command-r7b-12-2024,Andrew,cohere,984.0,0.0,0,1,0.0,30.769230769230766
google/gemini-flash-1.5-8b,Morgan Casey,google,1000.0,0,0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Cameron Reed,mistralai,1000.0,0,0,0,0,0
google/gemini-2.0-flash-lite-001,Kennedy Ross,google,1000.0,0,0,0,0,0
