Model,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
google/gemini-2.5-pro-preview-03-25,google,1031.263693206478,50.0,5,10,44.33333333333333,75.70238095238093,70.6425518925519,71.1639194139194,2.978333333333333,85.06451065274595,0.0,100.0,20.600723777702918,12.7,0,5,0
google/gemini-2.0-flash-lite-001,google,984.0,40.0,4,10,30.0,47.547619047619044,64.83333333333334,53.378151260504204,3.475,56.76244588744588,0.0,87.44352869352869,2.5028647167060565,12.7,0,4,0
google/gemini-2.0-flash-001,google,984.736306793522,10.0,1,10,18.190476190476186,55.0,29.26190476190476,35.07142857142857,4.255714285714286,53.42657342657342,0.0,94.50487012987013,2.9667567216330797,12.7,0,1,0
