Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
mistralai/mistral-small-3.1-24b-instruct,Andrew,mistralai,1016.0,100.0,1,1,0.0,100.0
mistralai/mistral-7b-instruct-v0.3,Kennedy Ross,mistralai,1000.0,0,0,0,0,0
mistralai/mistral-7b-instruct,Kennedy Ross,mistralai,1000.0,0,0,0,0,0
meta-llama/llama-3.1-8b-instruct,Morgan Casey,meta-llama,1000.0,0,0,0,0,0
mistralai/mistral-nemo,Gray Wilson,mistralai,1000.0,0,0,0,0,0
mistralai/ministral-3b,Cameron Reed,mistralai,1000.0,0,0,0,0,0
qwen/qwen-2.5-7b-instruct,Cameron Reed,qwen,1000.0,0,0,0,0,0
cohere/command-r7b-12-2024,Emily,cohere,984.0,0.0,0,1,0.0,80.0
google/gemini-flash-1.5-8b,Harper Lee,google,1000.0,0,0,0,0,0
google/gemini-2.0-flash-lite-001,Kennedy Ross,google,1000.0,0,0,0,0,0
