Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
openai/o4-mini-high,Alex Morgan,openai,986.723864535874,40.0,4,10,43.33333333333333,55.03571428571428,65.51190476190476,59.04345654345654,3.2375,81.37640116722093,80.0,99.5,31.116512393079404,28.2,0,0,4
google/gemini-2.5-pro-preview-03-25,Matthew,google,1073.00566158348,30.0,3,10,62.878787878787875,40.83333333333333,37.357142857142854,37.66233766233766,3.2983333333333333,83.74524546660771,40.0,99.5,13.9063661332733,28.2,0,0,3
openai/o4-mini,James,openai,985.4358728782763,20.0,2,10,57.71428571428571,49.28571428571428,58.80952380952381,50.65234765234765,3.2452380952380957,83.00812802757882,40.0,96.27898550724639,14.00646118597875,28.2,0,0,2
google/gemini-2.5-flash-preview:thinking,Michael,google,984.736306793522,10.0,1,10,35.33333333333333,38.595238095238095,33.857142857142854,34.972222222222214,3.4949999999999997,71.39257964257965,10.0,84.7975191602194,10.197104172339895,28.2,0,0,1
google/gemini-2.5-flash-preview,Megan,google,984.0,0.0,0,10,48.0,32.523809523809526,29.46428571428571,28.56993006993007,3.9064285714285716,62.70463196933785,0.0,80.31099808344389,1.8858770612559155,28.2,0,0,0
qwen/qwq-32b,John,qwen,986.0982942088476,0.0,0,10,35.58333333333333,20.5,20.928571428571427,20.3015873015873,4.131666666666666,63.32315233785822,50.0,76.97534165181223,69.81299774124179,28.2,0,0,0
