Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1
meta-llama/llama-3.1-8b-instruct,John,meta-llama,986.723864535874,60.0,3,5,6.666666666666666,51.68627450980392
mistralai/mistral-small-3.1-24b-instruct,Sarah,mistralai,1073.00566158348,40.0,2,5,24.166666666666664,49.666666666666664
qwen/qwen-2.5-7b-instruct,Jessica,qwen,1073.00566158348,33.33333333333333,2,6,23.51190476190476,19.23076923076923
mistralai/mistral-7b-instruct,Amanda,mistralai,985.4358728782763,14.285714285714285,1,7,47.44897959183673,54.378497635613385
mistralai/mistral-nemo,Kevin,mistralai,986.0982942088476,11.11111111111111,1,9,39.62962962962963,24.483711798289807
google/gemini-flash-1.5-8b,John,google,984.0,11.11111111111111,1,9,29.215969215969217,22.84725078842726
mistralai/mistral-7b-instruct-v0.3,Daniel,mistralai,986.0982942088476,0.0,0,6,16.666666666666668,28.57885578473814
mistralai/ministral-3b,Laura,mistralai,984.736306793522,0.0,0,5,34.98412698412697,23.913863913863914
cohere/command-r7b-12-2024,Megan,cohere,986.723864535874,0.0,0,2,12.5,31.313131313131315
google/gemini-2.0-flash-lite-001,Amanda,google,985.4358728782763,0.0,0,6,33.333333333333336,33.510361890579674
