Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
mistralai/ministral-3b,Devon Parker,mistralai,1000,0.0,0,198,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r7b-12-2024,Parker Quinn,cohere,1000,0.0,0,192,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5-8b,Taylor Wright,google,1000,0.0,0,196,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-lite-001,Vaughn Miller,google,1000,0.0,0,206,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-flash-1.5,Gray Wilson,google,1000,0.0,0,222,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistral/ministral-8b,Reese Johnson,mistral,1000,0.0,0,208,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/ministral-8b,Cameron Reed,mistralai,1000,0.0,0,207,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.1-8b-instruct,Vaughn Miller,meta-llama,1000,0.0,0,233,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-3.3-70b-instruct,Gray Wilson,meta-llama,1000,0.0,0,211,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-3.1-24b-instruct,Indigo Carter,mistralai,1000,0.0,0,207,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small-24b-instruct-2501,Logan Bailey,mistralai,1000,0.0,0,197,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.0-flash-001,Taylor Wright,google,1000,0.0,0,189,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1-distill-llama-70b,Harper Lee,deepseek,1000,0.0,0,211,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/pixtral-12b,Finley Quinn,mistralai,1000,0.0,0,210,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-nemo,Devon Parker,mistralai,1000,0.0,0,224,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview,Sidney Shaw,google,1000,0.0,0,224,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-4-scout,Ellis Jordan,meta-llama,1000,0.0,0,216,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-08-2024,Logan Bailey,cohere,1000,0.0,0,224,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini,Alex Morgan,openai,1000,0.0,0,198,0,0,0,0,0,0,0,0,0,0.0,0,0,0
openai/gpt-4o-mini-2024-07-18,Nico Riley,openai,1000,0.0,0,203,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-saba,Sidney Shaw,mistralai,1000,0.0,0,179,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-small,Ellis Jordan,mistralai,1000,0.0,0,199,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/mistral-tiny,Reese Johnson,mistralai,1000,0.0,0,235,0,0,0,0,0,0,0,0,0,0.0,0,0,0
meta-llama/llama-4-maverick,Logan Bailey,meta-llama,1000,0.0,0,184,0,0,0,0,0,0,0,0,0,0.0,0,0,0
mistralai/codestral-2501,Ellis Jordan,mistralai,1000,0.0,0,210,0,0,0,0,0,0,0,0,0,0.0,0,0,0
google/gemini-2.5-flash-preview:thinking,Nico Riley,google,1000,0.0,0,213,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r,Sidney Shaw,cohere,1000,0.0,0,209,0,0,0,0,0,0,0,0,0,0.0,0,0,0
cohere/command-r-03-2024,Vaughn Miller,cohere,1000,0.0,0,194,0,0,0,0,0,0,0,0,0,0.0,0,0,0
deepseek/deepseek-r1,Indigo Carter,deepseek,1000,0.0,0,201,0,0,0,0,0,0,0,0,0,0.0,0,0,0
