Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
qwen/qwen3-30b-a3b,Amanda,qwen,984.0,53.333333333333336,16,30,59.26190476190475,63.04761904761906,99.6856725146199
google/gemini-2.5-flash-preview-05-20,Jessica,google,1073.00566158348,46.15384615384615,12,26,52.083333333333336,58.16615008922702,99.65369879162982
qwen/qwen3-235b-a22b,Emily,qwen,1073.00566158348,45.45454545454545,10,22,63.02489177489176,69.88571497152734,79.48370208582516
google/gemini-2.0-flash-001,Matthew,google,986.723864535874,27.77777777777778,5,18,46.12433862433863,42.16524216524217,100.0
google/gemini-flash-1.5,Jennifer,google,1073.00566158348,26.47058823529412,9,34,35.86484593837535,53.418496632164455,99.60905932581761
meta-llama/llama-3.3-70b-instruct,Nicole,meta-llama,986.723864535874,25.0,7,28,51.420068027210895,48.061620918763765,74.04171741433713
openai/gpt-4.1-mini,Michael,openai,986.0982942088476,24.137931034482758,7,29,37.01149425287356,51.716643734899314,96.3752879787496
meta-llama/llama-3.1-8b-instruct,Kevin,meta-llama,1073.00566158348,23.809523809523807,5,21,41.507936507936506,47.70031138452191,89.95815388345628
mistralai/ministral-3b,Megan,mistralai,984.736306793522,16.666666666666664,4,24,49.29563492063492,33.183390683390684,85.48129053895309
openai/gpt-4.1-nano,John,openai,984.736306793522,16.0,4,25,50.352380952380955,43.69119769119769,98.19229946524065
meta-llama/llama-4-maverick,Jennifer,meta-llama,986.0982942088476,13.793103448275861,4,29,37.42138130069164,26.896551724137932,35.10363607698674
meta-llama/llama-4-scout,Brian,meta-llama,984.736306793522,10.714285714285714,3,28,37.54625334982478,49.28571428571429,43.530651666282814
openai/gpt-4o-mini,James,openai,984.0,10.0,3,30,56.82539682539683,34.49050764050764,98.87515710096356
mistralai/mistral-nemo,Nicole,mistralai,986.0982942088476,9.090909090909092,2,22,52.31240981240981,30.070485070485066,92.66300684960973
google/gemini-flash-1.5-8b,Matthew,google,1073.00566158348,8.333333333333332,2,24,37.36899674399674,55.138888888888886,94.46238218361539
qwen/qwen-2.5-7b-instruct,Andrew,qwen,986.0982942088476,7.6923076923076925,2,26,26.46672771672771,3.8461538461538463,92.43422477012516
mistralai/mistral-small,Sarah,mistralai,985.4358728782763,4.761904761904762,1,21,38.333333333333336,33.22201607915894,96.10235547210335
mistralai/mistral-small-24b-instruct-2501,Sarah,mistralai,984.0,4.166666666666666,1,24,38.263888888888886,28.311142833201657,95.71748374550099
mistralai/mistral-saba,Emily,mistralai,985.4358728782763,4.166666666666666,1,24,18.75,23.09079809079809,93.02679958929959
mistralai/pixtral-12b,Laura,mistralai,985.4358728782763,4.0,1,25,42.06984126984127,39.68888888888888,90.29968993321185
mistralai/mistral-small-3.1-24b-instruct,Michael,mistralai,985.4358728782763,3.571428571428571,1,28,44.13690476190476,33.19260104974391,93.36059432769959
mistralai/devstral-small,Sarah,mistralai,984.0,0.0,0,21,31.746031746031743,19.011887583316156,92.78124925183748
google/gemini-2.0-flash-lite-001,Thomas,google,986.723864535874,0.0,0,17,35.294117647058826,12.80418927477751,98.97504456327987
mistralai/ministral-8b,Ashley,mistralai,984.0,0.0,0,24,48.938492063492056,39.33321308321308,80.53039280980458
